acc,auc_roc,recall,precision,f1,kappa,mcc,auc_prc
0.53125,0.6705882352941176,0.0,0.0,0.0,0.0,0.0,0.6961146494164432
0.53125,0.6823529411764706,0.0,0.0,0.0,0.0,0.0,0.6980106274282716
0.625,0.8117647058823529,0.26666666666666666,0.8,0.4,0.21632653061224494,0.2856530694872366,0.7689491961713324
0.53125,0.7098039215686275,0.0,0.0,0.0,0.0,0.0,0.7166414213348906
0.5625,0.7921568627450981,0.06666666666666667,1.0,0.125,0.0705394190871369,0.19120444499264716,0.761346584549113
0.53125,0.6196078431372549,0.0,0.0,0.0,0.0,0.0,0.6960061291662112
0.53125,0.7686274509803922,0.0,0.0,0.0,0.0,0.0,0.7850863990249297
0.53125,0.6549019607843136,0.0,0.0,0.0,0.0,0.0,0.6520588026827395
0.53125,0.7803921568627451,0.0,0.0,0.0,0.0,0.0,0.7930208842927483
0.71875,0.796078431372549,0.4666666666666667,0.875,0.608695652173913,0.4193548387096774,0.4700159919404217,0.814612790295743
0.5625,0.7286274509803923,0.08,0.26749999999999996,0.1133695652173913,0.07062207884090592,0.09468735064203056,0.7381847484362424
0.05929270612815711,0.06554535659851352,0.1514375558880073,0.41110369738060004,0.20435479289696679,0.133325420698001,0.15792875129503697,0.050572340988938626
