acc,auc_roc,recall,precision,f1,kappa,mcc,auc_prc
0.59375,0.8,0.13333333333333333,1.0,0.23529411764705882,0.14049586776859502,0.2748737083744209,0.7893975146530448
0.75,0.803921568627451,0.8,0.7058823529411765,0.7500000000000001,0.5019455252918288,0.5058823529411376,0.6925184662258965
0.65625,0.7568627450980392,0.6666666666666666,0.625,0.6451612903225806,0.3125,0.31311214554255073,0.7916744811393934
0.59375,0.7254901960784313,0.26666666666666666,0.6666666666666666,0.3809523809523809,0.1544715447154471,0.19052466523876857,0.5881964646980127
0.65625,0.8274509803921568,0.8,0.6,0.6857142857142857,0.32307692307692304,0.33954987505083845,0.8513098306921836
0.59375,0.7294117647058824,0.6,0.5625,0.5806451612903225,0.1875,0.18786728732553046,0.7350092869188751
0.6875,0.7294117647058823,0.7333333333333333,0.6470588235294118,0.6875,0.377431906614786,0.3803921568627158,0.755158923175209
0.59375,0.7960784313725491,0.2,0.75,0.31578947368421056,0.14754098360655743,0.21302148074898059,0.7759231737014076
0.4375,0.5686274509803922,0.2,0.3333333333333333,0.25,-0.15662650602409633,-0.169749828461089,0.47735905767028325
0.65625,0.7215686274509804,0.4666666666666667,0.7,0.56,0.29600000000000004,0.3124282448813265,0.5986819090972858
0.621875,0.7458823529411764,0.4866666666666667,0.6590441176470588,0.509105670961084,0.22843362450500412,0.25479020885051806,0.7055229107971592
0.07837460127490281,0.06968485107840368,0.2530700386146974,0.15768650316520133,0.18524778365427405,0.1694971669058265,0.16844045270715466,0.11018557048282837
0.6875,0.7725490196078431,0.6,0.6923076923076923,0.6428571428571429,0.3675889328063241,0.3705649863991642,0.6793347515304919
