acc,auc_roc,recall,precision,f1,kappa,mcc,auc_prc
0.75,0.823529411764706,0.9333333333333333,0.6666666666666666,0.7777777777777778,0.5095785440613028,0.5479936938800771,0.7178056253172352
0.75,0.7686274509803922,0.8,0.7058823529411765,0.7500000000000001,0.5019455252918288,0.5058823529411376,0.7222255956977319
0.75,0.7921568627450981,0.8,0.7058823529411765,0.7500000000000001,0.5019455252918288,0.5058823529411376,0.7911438842128496
0.78125,0.8117647058823529,0.8,0.75,0.7741935483870969,0.5625,0.5636018619765913,0.7196833811213379
0.75,0.8117647058823529,0.8,0.7058823529411765,0.7500000000000001,0.5019455252918288,0.5058823529411376,0.7970502209461019
0.6875,0.7490196078431373,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.37254901960784315,0.3725490196078145,0.6574310484201789
0.8125,0.8588235294117647,0.8,0.8,0.8000000000000002,0.6235294117647059,0.6235294117646579,0.7507203462363422
0.75,0.8313725490196078,0.8,0.7058823529411765,0.7500000000000001,0.5019455252918288,0.5058823529411376,0.8250333120039002
0.6875,0.7647058823529412,0.7333333333333333,0.6470588235294118,0.6875,0.377431906614786,0.3803921568627158,0.7302823278559583
0.65625,0.7843137254901961,0.9333333333333333,0.5833333333333334,0.7179487179487181,0.33333333333333337,0.39770583933416237,0.7739911033525585
0.7375,0.7996078431372549,0.8066666666666666,0.6937254901960784,0.742408671078026,0.47867043165492856,0.490930139519057,0.7485366845164194
0.04463392767839281,0.03226428732874765,0.07571877794400367,0.0555705093292535,0.038934084167204584,0.0858880766991721,0.07870055624475324,0.046664772037760816
0.78125,0.8117647058823529,0.8,0.75,0.7741935483870969,0.5625,0.5636018619765913,0.8020545718371805
