acc,auc_roc,recall,precision,f1,kappa,mcc,auc_prc
0.78125,0.8549019607843138,0.9333333333333333,0.7,0.8,0.5692307692307692,0.598254541756288,0.8583321212915865
0.78125,0.7568627450980393,0.8,0.75,0.7741935483870969,0.5625,0.5636018619766345,0.7819643740458901
0.8125,0.7686274509803921,0.8,0.8,0.8000000000000002,0.6235294117647059,0.6235294117647059,0.8059445806377119
0.78125,0.7960784313725491,0.8666666666666667,0.7222222222222222,0.7878787878787877,0.5658914728682171,0.5759469664695669,0.8268533581347246
0.8125,0.8,0.8666666666666667,0.7647058823529411,0.8125,0.6264591439688716,0.6313725490196078,0.8296028117462473
0.8125,0.8235294117647058,0.8666666666666667,0.7647058823529411,0.8125,0.6264591439688716,0.6313725490196078,0.8575670757458391
0.875,0.9058823529411766,0.9333333333333333,0.8235294117647058,0.8749999999999999,0.7509727626459144,0.7568627450980392,0.92616562148583
0.78125,0.7803921568627452,0.8,0.75,0.7741935483870969,0.5625,0.5636018619766345,0.801560780342147
0.78125,0.803921568627451,0.8,0.75,0.7741935483870969,0.5625,0.5636018619766345,0.8463619072479429
0.75,0.7647058823529411,0.8,0.7058823529411765,0.7500000000000001,0.5019455252918288,0.5058823529411764,0.7678384802537478
0.796875,0.8054901960784313,0.8466666666666667,0.7531045751633987,0.7960459433040079,0.5951988229739179,0.6014026701998895,0.8302191110931666
0.03202172114362375,0.04357002168574481,0.052068331172711015,0.03668881055151197,0.032289312433502707,0.06360788871298197,0.06365732694188012,0.04318182355672347
0.78125,0.8274509803921568,0.8,0.75,0.7741935483870969,0.5625,0.5636018619766345,0.8672599213572845
