acc,auc_roc,recall,precision,f1,kappa,mcc,auc_prc
0.6875,0.7607843137254902,0.6,0.6923076923076923,0.6428571428571429,0.3675889328063241,0.37056498639919355,0.7261182611868886
0.65625,0.7490196078431373,0.4,0.75,0.5217391304347827,0.29032258064516125,0.32539568672798425,0.7388313256438732
0.75,0.8352941176470589,0.6,0.8181818181818182,0.6923076923076923,0.4900398406374502,0.5067911605056783,0.6985695764404204
0.6875,0.8470588235294118,0.4,0.8571428571428571,0.5454545454545455,0.3522267206477733,0.41184152944810126,0.8296892136470142
0.78125,0.8117647058823529,0.7333333333333333,0.7857142857142857,0.7586206896551724,0.5590551181102362,0.5601675975251952,0.8090858813641153
0.84375,0.8823529411764706,0.8,0.8571428571428571,0.8275862068965518,0.6850393700787402,0.6864025490801687,0.83283252777818
0.75,0.788235294117647,0.6,0.8181818181818182,0.6923076923076923,0.4900398406374502,0.5067911605056783,0.7937778698956179
0.71875,0.7999999999999999,0.6666666666666666,0.7142857142857143,0.689655172413793,0.4330708661417323,0.43393264597022163,0.8112232050615413
0.71875,0.7647058823529412,0.6,0.75,0.6666666666666665,0.4285714285714286,0.4365641250653994,0.7853837222422048
0.59375,0.6588235294117647,0.4666666666666667,0.5833333333333334,0.5185185185185186,0.17460317460317465,0.17785945835997752,0.6411705061459964
0.71875,0.7898039215686274,0.5866666666666667,0.7626290376290376,0.6555713457512559,0.42705578728794713,0.4416310899587598,0.7666682089405852
0.06555055301063448,0.058985398202237374,0.12578641509408803,0.08019911406809607,0.09652673795818947,0.13546800362751873,0.1309826447198128,0.06002104829097259
0.75,0.823529411764706,0.6,0.8181818181818182,0.6923076923076923,0.4900398406374502,0.5067911605056783,0.7982258847763963
