acc,auc_roc,recall,precision,f1,kappa,mcc,auc_prc
0.65625,0.6862745098039216,0.4666666666666667,0.7,0.56,0.29600000000000004,0.3124282448813543,0.6760086694020037
0.625,0.6784313725490196,0.5333333333333333,0.6153846153846154,0.5714285714285715,0.24110671936758898,0.24305875451990117,0.6835856850059969
0.78125,0.8,0.6,0.9,0.7200000000000001,0.552,0.5826364566706337,0.790843531929086
0.75,0.7372549019607844,0.6,0.8181818181818182,0.6923076923076923,0.4900398406374502,0.5067911605056783,0.7126636749803327
0.71875,0.7176470588235293,0.5333333333333333,0.8,0.64,0.42400000000000004,0.44753235077599396,0.758588705052574
0.6875,0.7137254901960786,0.6,0.6923076923076923,0.6428571428571429,0.3675889328063241,0.37056498639919355,0.687782091105824
0.75,0.7764705882352941,0.6666666666666666,0.7692307692307693,0.7142857142857142,0.4940711462450593,0.498071218278486,0.7972474449506814
0.75,0.7254901960784315,0.6666666666666666,0.7692307692307693,0.7142857142857142,0.4940711462450593,0.498071218278486,0.6593224744368008
0.625,0.6509803921568627,0.4666666666666667,0.6363636363636364,0.5384615384615385,0.2350597609561753,0.24309494690922778,0.6505758975955055
0.5625,0.6274509803921569,0.4666666666666667,0.5384615384615384,0.5,0.11462450592885376,0.11555252264060875,0.6216523674832009
0.690625,0.7113725490196078,0.56,0.723916083916084,0.6293626373626374,0.3708562052186511,0.3817801859859563,0.7038270541942004
0.06767627446158661,0.05041008302500838,0.07423685817106694,0.10256517270049902,0.07749939211560077,0.13665662561694925,0.1419969763883933,0.05690887445050324
0.75,0.7490196078431373,0.6,0.8181818181818182,0.6923076923076923,0.4900398406374502,0.5067911605056783,0.7204502682122161
