acc,auc_roc,recall,precision,f1,kappa,mcc,auc_prc
0.78125,0.7686274509803923,0.6666666666666666,0.8333333333333334,0.7407407407407408,0.5555555555555556,0.5659164584181102,0.774054196468254
0.71875,0.7607843137254902,0.4666666666666667,0.875,0.608695652173913,0.4193548387096774,0.4700159919404217,0.7389146500953316
0.71875,0.7686274509803921,0.4666666666666667,0.875,0.608695652173913,0.4193548387096774,0.4700159919404217,0.7524920395107983
0.71875,0.796078431372549,0.4666666666666667,0.875,0.608695652173913,0.4193548387096774,0.4700159919404217,0.7673124550310735
0.78125,0.7372549019607844,0.6,0.9,0.7200000000000001,0.552,0.5826364566706337,0.6912339077061493
0.71875,0.7725490196078432,0.4666666666666667,0.875,0.608695652173913,0.4193548387096774,0.4700159919404217,0.7530899108856097
0.75,0.8313725490196079,0.5333333333333333,0.8888888888888888,0.6666666666666667,0.48594377510040165,0.5266597241998389,0.8368698587214328
0.84375,0.7843137254901962,0.7333333333333333,0.9166666666666666,0.8148148148148148,0.6825396825396826,0.6952687917708212,0.7620844176363695
0.65625,0.7411764705882353,0.3333333333333333,0.8333333333333334,0.47619047619047616,0.2845528455284553,0.3509664885977756,0.7283584522437374
0.8125,0.7882352941176471,0.6666666666666666,0.9090909090909091,0.7692307692307692,0.6175298804780877,0.6386392673039035,0.7610599857044353
0.75,0.7749019607843136,0.54,0.878131313131313,0.662242607633912,0.4855541094040893,0.524015115472277,0.7565469874003192
0.05229125165837972,0.025965404481955844,0.11718930554164628,0.026627755127465236,0.09504035567548477,0.11111580116948273,0.09448552513520332,0.035106803898817714
0.75,0.7725490196078431,0.5333333333333333,0.8888888888888888,0.6666666666666667,0.48594377510040165,0.5266597241998389,0.7540013797459326
