acc,auc_roc,recall,precision,f1,kappa,mcc,auc_prc
0.75,0.8235294117647058,0.6,0.8181818181818182,0.6923076923076923,0.4900398406374502,0.5067911605056783,0.7954094003666624
0.625,0.6745098039215687,0.4,0.6666666666666666,0.5,0.22891566265060237,0.24809590313546126,0.6122564958388738
0.59375,0.6313725490196078,0.4666666666666667,0.5833333333333334,0.5185185185185186,0.17460317460317465,0.17785945835997752,0.629643706186229
0.71875,0.796078431372549,0.6,0.75,0.6666666666666665,0.4285714285714286,0.4365641250653994,0.7744981472202834
0.75,0.7568627450980392,0.6,0.8181818181818182,0.6923076923076923,0.4900398406374502,0.5067911605056783,0.6920262491069733
0.75,0.7843137254901961,0.6,0.8181818181818182,0.6923076923076923,0.4900398406374502,0.5067911605056783,0.8188300195921163
0.84375,0.803921568627451,0.7333333333333333,0.9166666666666666,0.8148148148148148,0.6825396825396826,0.6952687917708212,0.7168147252795719
0.6875,0.7882352941176471,0.4,0.8571428571428571,0.5454545454545455,0.3522267206477733,0.41184152944810126,0.6897339518830747
0.8125,0.776470588235294,0.7333333333333333,0.8461538461538461,0.7857142857142856,0.6205533596837944,0.6255774501577784,0.7086032890055879
0.625,0.6313725490196078,0.5333333333333333,0.6153846153846154,0.5714285714285715,0.24110671936758898,0.24305875451990117,0.5256212010055812
0.715625,0.7466666666666667,0.5666666666666667,0.768989343989344,0.647952047952048,0.4198636269976396,0.4358639493974475,0.6963437185484954
0.07837460127490282,0.06896165124589573,0.11254628677422752,0.10568196860502709,0.10396083452093587,0.16039563752625263,0.1606078015274396,0.08498378515276962
0.78125,0.7647058823529412,0.6666666666666666,0.8333333333333334,0.7407407407407408,0.5555555555555556,0.5659164584181102,0.6829604873627863
