acc,auc_roc,recall,precision,f1,kappa,mcc,auc_prc
0.5,0.44705882352941173,0.0,0.0,0.0,-0.06224066390041494,-0.16870980440527691,0.41004268868933696
0.53125,0.44705882352941173,0.0,0.0,0.0,0.0,0.0,0.40746993736658565
0.53125,0.48627450980392156,0.0,0.0,0.0,0.0,0.0,0.43110261696959545
0.53125,0.47843137254901963,0.0,0.0,0.0,0.0,0.0,0.4267303550534739
0.53125,0.49019607843137253,0.0,0.0,0.0,0.0,0.0,0.4294878753109942
0.53125,0.4823529411764706,0.0,0.0,0.0,0.0,0.0,0.42607397439709327
0.5,0.4901960784313726,0.0,0.0,0.0,-0.06224066390041494,-0.16870980440527691,0.4363094056325245
0.53125,0.4823529411764706,0.0,0.0,0.0,0.0,0.0,0.43395336135000967
0.53125,0.5176470588235293,0.0,0.0,0.0,0.0,0.0,0.463741122064241
0.53125,0.4666666666666666,0.0,0.0,0.0,0.0,0.0,0.42507330621995454
0.525,0.47882352941176476,0.0,0.0,0.0,-0.012448132780082988,-0.03374196088105538,0.42899846430538097
0.0125,0.02003073378685825,0.0,0.0,0.0,0.024896265560165973,0.06748392176211075,0.014634284559505856
0.53125,0.4784313725490196,0.0,0.0,0.0,0.0,0.0,0.43134591324256155
