acc,auc_roc,recall,precision,f1,kappa,mcc,auc_prc
0.6875,0.8274509803921568,0.8666666666666667,0.6190476190476191,0.7222222222222222,0.3869731800766284,0.4161455870818984,0.8257502442476351
0.78125,0.7490196078431373,0.8,0.75,0.7741935483870969,0.5625,0.5636018619766345,0.7885758752690064
0.78125,0.7647058823529412,0.8,0.75,0.7741935483870969,0.5625,0.5636018619766345,0.7978815437436128
0.75,0.7843137254901961,0.8,0.7058823529411765,0.7500000000000001,0.5019455252918288,0.5058823529411764,0.8159275602082152
0.75,0.7843137254901961,0.8,0.7058823529411765,0.7500000000000001,0.5019455252918288,0.5058823529411764,0.7873015565822116
0.78125,0.7882352941176471,0.8666666666666667,0.7222222222222222,0.7878787878787877,0.5658914728682171,0.5759469664695669,0.8049402630976928
0.84375,0.9058823529411765,0.8666666666666667,0.8125,0.8387096774193549,0.6875,0.6888467201936644,0.9288189403891491
0.75,0.7843137254901961,0.8,0.7058823529411765,0.7500000000000001,0.5019455252918288,0.5058823529411764,0.8080730216556788
0.8125,0.815686274509804,0.8,0.8,0.8000000000000002,0.6235294117647059,0.6235294117647059,0.8551489863684334
0.75,0.7490196078431373,0.8,0.7058823529411765,0.7500000000000001,0.5019455252918288,0.5058823529411764,0.7371258090332389
0.76875,0.7952941176470588,0.8200000000000001,0.7277299253034547,0.7697197784294558,0.5396676165876867,0.545520182122781,0.8149543800594875
0.040019526483955306,0.04394257200888294,0.030550504633038923,0.052107855332473356,0.0313970911571965,0.0772171975707711,0.07157516033791604,0.04759742665279141
0.78125,0.8117647058823529,0.8,0.75,0.7741935483870969,0.5625,0.5636018619766345,0.8414553555527187
